Zeit [d]	SupplyTemperatureSchedule [C]
0	1.10866
1	0.842518
2	1.17321
3	0.898297
4	1.24132
5	0.737398
6	1.82552
7	2.24227
8	2.50035
9	2.53854
10	2.50267
11	3.04912
12	2.85835
13	3.08498
14	2.91949
15	2.63206
16	2.90618
17	2.8153
18	2.93972
19	3.04642
20	2.84122
21	2.54552
22	2.75545
23	2.86397
24	2.86425
25	2.76233
26	2.49041
27	2.22343
28	2.00272
29	1.94682
30	1.8617
31	1.03946
32	0.805637
33	1.12404
34	1.44905
35	1.94188
36	2.08179
37	2.27528
38	2.50577
39	2.49392
40	2.77015
41	3.22197
42	3.50033
43	3.72609
44	3.32389
45	2.86227
46	3.06598
47	3.31626
48	3.44714
49	3.18075
50	2.88475
51	3.05766
52	2.19702
53	2.54846
54	2.5857
55	2.55749
56	2.75835
57	2.42749
58	2.54376
59	2.95007
60	3.46624
61	3.28865
62	3.39336
63	3.00801
64	3.43432
65	3.25822
66	2.96144
67	3.49323
68	3.25127
69	3.58681
70	3.78586
71	3.80201
72	3.57081
73	2.79706
74	2.77747
75	2.95917
76	3.78613
77	4.26375
78	4.19892
79	4.11038
80	4.08372
81	3.53278
82	3.22911
83	2.90888
84	2.77646
85	2.6454
86	2.69806
87	3.33237
88	3.87125
89	4.259
90	4.38223
91	4.50452
92	4.60487
93	4.66796
94	4.61804
95	4.44715
96	4.59733
97	4.73555
98	4.87876
99	4.76626
100	4.38959
101	4.01887
102	4.18865
103	4.58125
104	4.18121
105	3.99075
106	3.90492
107	4.35084
108	4.69363
109	4.76478
110	4.85762
111	4.45882
112	4.45931
113	4.68852
114	4.8777
115	5.0498
116	5.09697
117	5.09249
118	5.16687
119	5.31147
120	5.47938
121	5.40837
122	5.34661
123	5.31246
124	5.25076
125	5.20557
126	5.1893
127	5.30955
128	5.39286
129	5.46955
130	5.49068
131	5.43016
132	5.4039
133	5.42529
134	5.48031
135	5.5501
136	5.57763
137	5.78864
138	5.80277
139	5.86115
140	6.09216
141	6.24805
142	5.93699
143	5.92434
144	6.2969
145	6.62363
146	6.78441
147	6.20196
148	6.01663
149	5.8817
150	5.80047
151	5.80328
152	5.87677
153	5.91523
154	6.2279
155	6.16621
156	6.03466
157	5.90086
158	5.78919
159	5.7415
160	5.73963
161	5.71227
162	5.66848
163	5.68338
164	5.83311
165	5.93794
166	6.13695
167	6.28381
168	6.29435
169	6.35985
170	6.60049
171	6.85731
172	7.43849
173	7.04106
174	7.17172
175	7.76316
176	7.55324
177	7.09667
178	7.31213
179	7.25821
180	7.14714
181	7.42477
182	7.27021
183	7.73844
184	8.36518
185	8.01876
186	7.42372
187	7.30271
188	7.29991
189	7.0816
190	6.93081
191	6.84919
192	7.12872
193	7.33663
194	7.02479
195	6.64034
196	6.64931
197	7.0572
198	6.80362
199	6.67949
200	6.63657
201	6.73291
202	6.57573
203	6.44168
204	6.45577
205	6.72082
206	7.30422
207	7.95788
208	8.26573
209	8.57208
210	8.16408
211	7.64644
212	7.46767
213	7.40313
214	7.8871
215	8.10179
216	7.76739
217	7.86693
218	8.08016
219	7.64288
220	7.399
221	7.27526
222	7.25637
223	6.94015
224	6.81944
225	6.90237
226	7.00296
227	7.2258
228	7.7643
229	7.90135
230	8.03137
231	7.86193
232	8.37705
233	8.35455
234	7.82154
235	7.43814
236	7.34841
237	7.30343
238	7.02364
239	7.14044
240	7.36531
241	6.99498
242	7.09613
243	7.03807
244	7.00159
245	7.03946
246	6.8872
247	6.68051
248	6.56785
249	6.48672
250	6.49593
251	6.40944
252	6.42481
253	6.65795
254	6.82796
255	6.91736
256	6.86543
257	6.78653
258	6.62195
259	6.59042
260	6.80956
261	6.54029
262	6.45104
263	6.48609
264	6.44398
265	6.37622
266	6.30133
267	6.41213
268	6.55788
269	6.57808
270	6.65454
271	6.53379
272	6.41626
273	6.36444
274	6.36477
275	6.30976
276	6.35712
277	6.40676
278	6.29063
279	6.25767
280	6.21807
281	6.12132
282	6.04665
283	5.92758
284	5.72377
285	5.97712
286	5.98312
287	6.07944
288	6.04991
289	6.05833
290	5.92829
291	5.76758
292	5.66562
293	5.62899
294	5.80973
295	5.91293
296	5.56479
297	5.44003
298	5.38811
299	5.4386
300	5.61251
301	5.41226
302	5.12179
303	4.52312
304	4.31011
305	4.55178
306	4.40128
307	4.79004
308	4.95328
309	4.79881
310	4.77894
311	4.95578
312	5.1381
313	5.08104
314	4.97929
315	5.01107
316	4.93253
317	4.90963
318	4.52613
319	4.33327
320	4.03535
321	3.73591
322	3.53267
323	3.11901
324	3.28981
325	3.71795
326	3.4242
327	3.18961
328	3.12264
329	3.21905
330	3.45272
331	3.50775
332	3.40473
333	3.46754
334	3.48371
335	3.53788
336	3.48666
337	3.01435
338	3.48152
339	3.58967
340	3.44986
341	3.24202
342	2.77166
343	2.61968
344	2.63595
345	2.81544
346	2.73284
347	3.14958
348	2.81782
349	2.10826
350	2.55762
351	2.54797
352	2.62357
353	2.90171
354	2.71286
355	3.01512
356	3.24718
357	3.30243
358	3.13577
359	3.08339
360	2.57628
361	2.2492
362	2.01567
363	2.02012
364	2.09175
365	1.96934
