time [h]	EFH1 [W]
0	393.94
1	470.75
2	752.92
3	1037.43
4	1243.79
5	7620.70
6	7693.93
7	7431.86
8	7530.17
9	7480.79
10	7298.90
11	7130.03
12	6747.88
13	6681.42
14	6650.72
15	6726.94
16	6652.52
17	6523.20
18	6127.50
19	5769.28
20	6056.03
21	5535.06
22	5960.93
23	352.92
24	360.71
25	361.47
26	350.43
27	349.40
28	387.55
29	7481.63
30	7655.95
31	6994.73
32	6721.90
33	6189.27
34	5859.48
35	5622.72
36	4907.75
37	4538.58
38	4569.44
39	4705.52
40	4767.78
41	4821.08
42	4673.81
43	4398.36
44	4753.19
45	6671.35
46	6686.96
47	238.33
48	263.34
49	276.77
50	277.19
51	276.09
52	284.39
53	7341.74
54	6744.77
55	5638.03
56	5526.35
57	4846.98
58	4339.33
59	3935.57
60	3378.51
61	3498.83
62	3651.93
63	3911.25
64	4309.96
65	4608.06
66	4661.17
67	4585.10
68	5085.35
69	4539.25
70	4719.97
71	297.79
72	319.37
73	339.79
74	353.16
75	348.22
76	339.74
77	7469.51
78	7443.36
79	6484.93
80	6119.30
81	5123.88
82	4877.98
83	4585.74
84	4424.17
85	4412.28
86	4595.77
87	4751.36
88	4723.58
89	4637.38
90	4417.86
91	4146.64
92	4543.74
93	6315.68
94	6299.08
95	243.87
96	259.97
97	272.71
98	274.45
99	277.60
100	285.76
101	7159.34
102	6186.45
103	5107.22
104	5173.77
105	4930.34
106	4718.64
107	4725.77
108	4689.26
109	4701.93
110	4700.82
111	4703.14
112	4564.32
113	4292.15
114	3988.62
115	3675.12
116	4110.58
117	3408.11
118	3498.11
119	202.19
120	208.25
121	208.18
122	213.01
123	221.67
124	221.24
125	6294.52
126	4939.49
127	4038.67
128	4146.04
129	3430.03
130	2844.79
131	2872.91
132	2744.41
133	2703.82
134	2886.02
135	3243.63
136	3682.14
137	3752.51
138	3788.53
139	3553.38
140	4080.33
141	3456.32
142	3691.49
143	229.34
144	241.92
145	259.37
146	280.66
147	292.38
148	298.69
149	7119.91
150	6283.25
151	5461.02
152	5266.24
153	3927.73
154	3159.86
155	2816.54
156	2948.77
157	2839.63
158	3097.81
159	3480.11
160	3774.35
161	3919.75
162	3845.46
163	3827.78
164	4391.85
165	3763.48
166	3980.94
167	253.08
168	273.70
169	292.37
170	312.73
171	332.00
172	344.68
173	7465.46
174	7349.64
175	6618.19
176	6482.86
177	6137.83
178	5823.13
179	5131.67
180	3900.01
181	3707.46
182	3606.98
183	4149.07
184	4766.03
185	4980.61
186	5015.09
187	5184.28
188	5813.70
189	5396.98
190	5566.41
191	349.01
192	357.00
193	369.18
194	374.56
195	377.39
196	443.57
197	7504.39
198	7589.28
199	6948.59
200	6574.48
201	5660.91
202	5340.88
203	4930.58
204	4210.11
205	4176.72
206	4494.79
207	4851.47
208	5033.59
209	5132.76
210	5021.36
211	4889.77
212	5450.09
213	4948.61
214	5205.53
215	329.74
216	346.37
217	358.61
218	374.84
219	399.72
220	542.28
221	7529.31
222	7665.50
223	7206.76
224	7030.61
225	6413.71
226	5448.87
227	5151.94
228	5382.10
229	5438.02
230	5378.03
231	5515.58
232	5652.14
233	5653.55
234	5453.93
235	5239.44
236	5659.98
237	5214.18
238	5438.21
239	338.80
240	355.55
241	367.75
242	376.20
243	411.59
244	516.62
245	7515.48
246	7676.08
247	7189.44
248	7027.00
249	6825.19
250	6368.82
251	5997.13
252	5786.78
253	5631.83
254	5506.45
255	5614.36
256	5970.76
257	6229.30
258	6074.28
259	5989.51
260	6636.72
261	6343.84
262	6491.31
263	429.46
264	461.01
265	593.09
266	927.00
267	1156.37
268	1349.70
269	7629.88
270	7693.93
271	7469.47
272	7564.54
273	7540.37
274	7339.33
275	6971.09
276	6516.50
277	5336.08
278	4833.59
279	5560.84
280	6453.92
281	6821.57
282	6691.25
283	6501.68
284	6893.18
285	6337.72
286	6373.84
287	393.70
288	414.39
289	452.15
290	670.57
291	931.20
292	1150.54
293	7606.83
294	7693.93
295	7501.31
296	7606.05
297	7127.51
298	5928.77
299	5035.08
300	4573.80
301	4373.87
302	4593.92
303	5397.18
304	6385.98
305	6606.22
306	6615.30
307	6557.57
308	7087.96
309	6670.42
310	6714.80
311	444.18
312	465.38
313	675.33
314	1161.55
315	1566.44
316	2007.35
317	7689.78
318	7693.93
319	7622.07
320	7691.19
321	7660.28
322	7023.20
323	6023.17
324	5327.24
325	5116.70
326	5359.23
327	6028.35
328	6634.39
329	6904.35
330	7126.53
331	7213.69
332	7476.27
333	7160.26
334	7175.10
335	462.31
336	587.84
337	1015.48
338	1355.91
339	1615.70
340	1878.94
341	7657.18
342	7693.93
343	7526.46
344	7597.48
345	7125.71
346	5884.99
347	5155.66
348	4771.81
349	4546.65
350	4666.88
351	5549.69
352	6411.51
353	6652.41
354	6553.02
355	6473.60
356	6907.31
357	6537.66
358	6612.10
359	409.89
360	407.02
361	399.29
362	464.57
363	585.08
364	766.78
365	7534.99
366	7679.84
367	7300.92
368	7318.84
369	7141.88
370	7019.23
371	6809.04
372	6544.54
373	6337.28
374	6182.98
375	6114.12
376	6043.53
377	5891.93
378	5425.20
379	4957.06
380	5449.72
381	4917.95
382	4907.32
383	266.86
384	276.00
385	283.92
386	303.56
387	322.19
388	319.58
389	7424.33
390	7185.51
391	6012.38
392	5778.14
393	5341.49
394	4946.18
395	4322.43
396	4065.85
397	4082.49
398	4280.34
399	4544.91
400	4547.57
401	4545.17
402	4327.58
403	4097.58
404	4621.94
405	3955.13
406	4026.84
407	246.26
408	269.80
409	285.52
410	290.37
411	297.59
412	316.93
413	7402.46
414	7005.64
415	5788.07
416	5603.17
417	4955.07
418	4460.80
419	3902.92
420	3593.78
421	4251.57
422	4329.70
423	4262.80
424	4651.70
425	4940.80
426	4850.19
427	4803.10
428	5448.74
429	4963.75
430	5063.60
431	321.42
432	334.41
433	348.18
434	360.78
435	365.87
436	373.76
437	7500.41
438	7592.33
439	6976.49
440	6591.08
441	5745.66
442	4791.38
443	3409.58
444	3533.42
445	3009.37
446	2900.26
447	3704.08
448	4787.84
449	5148.67
450	5069.56
451	4963.49
452	5497.12
453	5153.59
454	5467.93
455	359.61
456	387.78
457	398.08
458	391.05
459	415.90
460	554.72
461	7518.08
462	7596.20
463	7025.95
464	6795.01
465	5940.12
466	5941.52
467	5683.22
468	4907.78
469	4854.75
470	4636.59
471	4893.59
472	5298.22
473	5282.72
474	5174.59
475	4891.46
476	5265.69
477	4829.92
478	4990.60
479	303.26
480	309.36
481	323.39
482	336.84
483	336.72
484	348.59
485	7489.07
486	7581.93
487	6855.17
488	6314.14
489	5346.88
490	4990.77
491	4651.75
492	3830.22
493	3277.91
494	4334.35
495	4704.15
496	4845.96
497	4922.43
498	4851.19
499	4703.84
500	5143.08
501	4716.25
502	4901.01
503	307.66
504	323.29
505	329.44
506	345.04
507	364.08
508	380.02
509	7492.67
510	7509.41
511	6775.96
512	6747.56
513	6541.11
514	6223.21
515	5981.05
516	5818.70
517	5764.03
518	5725.86
519	5375.55
520	5326.47
521	5412.95
522	5381.96
523	5227.98
524	5611.40
525	5060.35
526	5129.82
527	311.67
528	323.75
529	334.57
530	350.68
531	364.64
532	387.56
533	7515.51
534	7682.75
535	7352.42
536	7308.73
537	7006.48
538	6499.43
539	6204.61
540	5016.23
541	4512.00
542	4614.93
543	5431.01
544	6721.64
545	7186.57
546	7056.88
547	6877.11
548	7380.92
549	7276.38
550	7477.32
551	515.43
552	717.85
553	1360.26
554	1845.49
555	2412.99
556	2867.86
557	7693.93
558	7693.93
559	7657.49
560	7678.25
561	7662.07
562	7307.59
563	6833.12
564	6811.70
565	6122.42
566	6139.73
567	6559.70
568	7090.13
569	7393.08
570	7481.38
571	7353.06
572	7585.61
573	7424.25
574	7510.50
575	514.07
576	1021.52
577	1614.32
578	1997.58
579	2600.74
580	3168.99
581	7693.93
582	7693.93
583	7693.93
584	7693.93
585	7693.93
586	7287.24
587	6422.32
588	5819.54
589	5631.18
590	5512.02
591	6070.60
592	7009.97
593	7288.66
594	7369.83
595	7381.45
596	7634.62
597	7500.22
598	7628.97
599	714.14
600	1514.12
601	2026.46
602	2461.93
603	3018.21
604	3209.79
605	7693.93
606	7693.93
607	7683.29
608	7693.93
609	7693.93
610	7665.66
611	7631.31
612	7603.53
613	7557.40
614	7483.75
615	7489.30
616	7484.90
617	7395.22
618	7327.33
619	7107.34
620	7378.65
621	6994.76
622	7084.58
623	398.90
624	393.21
625	532.62
626	787.72
627	1118.07
628	1346.44
629	7571.97
630	7693.93
631	7408.15
632	7515.26
633	7417.21
634	7296.31
635	7179.66
636	6876.03
637	6814.22
638	6909.97
639	6999.00
640	7151.41
641	7162.05
642	7140.30
643	6908.20
644	7253.69
645	6952.56
646	7057.93
647	445.60
648	493.79
649	888.00
650	1366.04
651	1696.09
652	2047.94
653	7661.69
654	7693.93
655	7556.09
656	7646.51
657	7629.46
658	7439.64
659	7224.98
660	6902.88
661	6747.98
662	7021.91
663	7071.97
664	6984.22
665	6825.80
666	6651.05
667	6509.66
668	6685.03
669	6041.70
670	6152.15
671	364.37
672	376.41
673	385.12
674	385.35
675	442.17
676	571.90
677	7512.48
678	7686.91
679	7273.64
680	7180.79
681	6962.86
682	6558.44
683	5805.73
684	5620.53
685	5417.83
686	5085.50
687	4650.85
688	4629.56
689	4463.13
690	4039.19
691	3853.19
692	4375.79
693	3670.33
694	3821.47
695	206.04
696	220.88
697	257.54
