time [h]	MFH4.0 [W]
0	2809.82
1	3224.80
2	3552.80
3	3779.53
4	3895.35
5	46550.40
6	46272.83
7	41947.45
8	41214.11
9	39093.64
10	37657.21
11	36364.49
12	34253.58
13	33567.44
14	33605.84
15	34490.69
16	34179.50
17	33337.41
18	30163.64
19	26748.02
20	30594.67
21	26386.57
22	29897.31
23	2537.61
24	2578.67
25	2554.58
26	2421.82
27	2384.90
28	2443.44
29	42700.93
30	39129.82
31	32855.25
32	32171.71
33	30084.92
34	28695.95
35	27894.24
36	24616.01
37	22312.36
38	22344.63
39	22998.34
40	23409.48
41	23547.51
42	21811.43
43	18922.98
44	23253.78
45	34536.59
46	34717.57
47	1546.52
48	1739.73
49	1841.59
50	1834.17
51	1806.66
52	1861.60
53	37453.47
54	31688.44
55	25767.59
56	26028.41
57	23119.33
58	20895.90
59	18983.76
60	16115.38
61	16234.47
62	16749.88
63	18047.30
64	20341.35
65	21920.32
66	21345.85
67	19646.89
68	24922.81
69	20454.33
70	22182.29
71	2020.62
72	2167.84
73	2308.05
74	2405.91
75	2354.87
76	2272.44
77	41143.90
78	36079.69
79	29735.34
80	28993.68
81	24454.60
82	23872.42
83	22498.48
84	20550.53
85	20581.33
86	22130.38
87	23181.27
88	22892.74
89	22100.07
90	19975.37
91	17214.52
92	21823.58
93	32688.23
94	32677.47
95	1606.97
96	1717.88
97	1799.01
98	1791.87
99	1799.03
100	1853.01
101	35495.44
102	28660.96
103	22630.03
104	23885.30
105	23026.37
106	22155.68
107	22577.29
108	22356.28
109	22467.76
110	22561.65
111	22750.93
112	21971.61
113	20094.40
114	17439.59
115	14526.44
116	19172.48
117	13808.18
118	14737.35
119	1289.93
120	1311.95
121	1286.41
122	1310.53
123	1374.77
124	1356.81
125	28154.63
126	22552.01
127	17122.19
128	17526.07
129	13586.62
130	11487.71
131	11659.09
132	11481.60
133	10268.74
134	10938.74
135	12804.90
136	15909.30
137	16060.53
138	15692.33
139	13480.34
140	18503.49
141	13724.26
142	15411.75
143	1446.73
144	1523.37
145	1634.55
146	1786.92
147	1876.83
148	1932.14
149	35103.16
150	29195.35
151	25145.90
152	24148.34
153	17815.30
154	15595.69
155	14124.73
156	13876.46
157	12570.23
158	13364.82
159	14580.98
160	16491.51
161	17225.64
162	16224.14
163	15242.42
164	20731.22
165	15666.68
166	17458.46
167	1652.29
168	1798.39
169	1925.99
170	2071.20
171	2211.30
172	2302.27
173	40569.93
174	35511.55
175	30661.59
176	31307.30
177	29894.52
178	28568.25
179	26050.22
180	21005.37
181	18921.15
182	17266.79
183	19837.31
184	23310.30
185	24219.24
186	23564.59
187	23575.72
188	29677.38
189	26182.08
190	27802.98
191	2497.67
192	2538.21
193	2612.49
194	2637.33
195	2645.41
196	2660.95
197	43451.25
198	39515.84
199	32818.36
200	31533.41
201	27899.40
202	26611.54
203	24876.61
204	21061.17
205	20253.55
206	22102.30
207	24117.06
208	24963.48
209	25281.84
210	23843.68
211	21884.64
212	27433.67
213	23119.88
214	25277.89
215	2306.53
216	2415.28
217	2491.71
218	2611.03
219	2714.69
220	2774.78
221	44240.69
222	41167.80
223	34324.90
224	34110.73
225	31512.86
226	27456.58
227	25525.00
228	26309.42
229	26672.53
230	26417.75
231	27431.92
232	28284.74
233	28102.18
234	26027.63
235	23529.85
236	28254.94
237	24446.57
238	26495.87
239	2364.74
240	2481.98
241	2558.69
242	2609.22
243	2713.23
244	2719.85
245	43938.67
246	41233.00
247	34458.85
248	34253.97
249	33625.90
250	31567.82
251	29644.31
252	28480.09
253	27782.52
254	27623.84
255	28286.64
256	30309.06
257	31620.61
258	29602.86
259	27760.87
260	33796.55
261	30921.12
262	32336.86
263	3080.65
264	3312.00
265	3425.20
266	3561.24
267	3609.45
268	3547.93
269	46625.05
270	46536.97
271	43068.10
272	42637.20
273	39799.86
274	38034.81
275	36557.98
276	33782.65
277	27972.12
278	24711.85
279	28146.35
280	33124.49
281	35293.57
282	33845.97
283	31461.19
284	35781.88
285	31294.64
286	31996.87
287	2860.92
288	3006.49
289	3117.02
290	3264.10
291	3382.29
292	3419.88
293	46369.36
294	46666.44
295	44403.75
296	43571.28
297	36752.13
298	32756.32
299	29271.01
300	26261.27
301	23784.82
302	23155.54
303	26930.87
304	33202.80
305	34246.94
306	33631.79
307	32282.89
308	37773.85
309	34265.08
310	34783.94
311	3220.55
312	3361.41
313	3470.60
314	3734.10
315	3906.06
316	4105.06
317	47312.97
318	47610.27
319	46526.12
320	46792.60
321	43381.55
322	40069.82
323	36819.34
324	32473.64
325	29602.83
326	28493.08
327	30683.42
328	34914.32
329	36668.16
330	37630.42
331	37708.75
332	40808.75
333	37346.22
334	37906.52
335	3367.39
336	3612.49
337	3721.55
338	3762.41
339	3829.43
340	3975.66
341	47101.08
342	47297.44
343	44835.74
344	43454.88
345	38121.81
346	35042.66
347	33159.04
348	30917.59
349	27896.69
350	25536.46
351	29045.06
352	34361.47
353	35785.41
354	34376.49
355	32579.34
356	37108.66
357	33919.73
358	34783.42
359	2958.88
360	2923.83
361	2839.11
362	2778.27
363	2785.94
364	2828.53
365	44873.54
366	42876.24
367	37200.76
368	37469.94
369	36775.10
370	36226.47
371	34738.56
372	33144.04
373	31894.05
374	31169.29
375	31078.84
376	30724.50
377	29701.18
378	25928.08
379	21865.49
380	27196.26
381	22840.44
382	23366.69
383	1795.19
384	1850.78
385	1889.50
386	2045.99
387	2199.42
388	2162.39
389	39697.95
390	34433.22
391	28006.46
392	27595.38
393	25538.54
394	23766.06
395	21152.59
396	19778.02
397	19821.97
398	20901.99
399	22210.97
400	22040.60
401	21877.17
402	19725.08
403	17161.21
404	22614.66
405	17333.69
406	18107.52
407	1633.00
408	1810.98
409	1919.54
410	1936.43
411	1980.89
412	2139.20
413	39871.26
414	34082.12
415	27113.64
416	26863.39
417	24094.95
418	22101.36
419	20187.87
420	18136.54
421	20696.37
422	21170.34
423	20476.80
424	22618.29
425	24319.71
426	22876.48
427	21393.57
428	27656.46
429	23542.31
430	24545.64
431	2216.95
432	2289.30
433	2370.66
434	2453.56
435	2481.90
436	2502.69
437	42703.43
438	38438.17
439	32228.83
440	30836.31
441	27687.03
442	24176.52
443	19859.71
444	18843.76
445	17550.10
446	15536.11
447	17616.18
448	23409.33
449	25432.44
450	24088.22
451	22100.40
452	27363.45
453	24114.63
454	26589.21
455	2541.18
456	2744.35
457	2803.39
458	2750.03
459	2680.21
460	2705.08
461	44088.20
462	40178.73
463	33741.41
464	33004.22
465	28155.33
466	28443.95
467	27174.85
468	22916.44
469	22268.43
470	21337.46
471	22762.24
472	25749.88
473	25376.55
474	24262.73
475	21494.95
476	26118.94
477	22628.15
478	24066.93
479	2112.63
480	2141.24
481	2237.06
482	2331.12
483	2312.42
484	2401.49
485	42621.18
486	39212.26
487	33622.86
488	31638.80
489	26498.32
490	24393.39
491	22585.71
492	19057.26
493	17149.69
494	21268.26
495	22631.87
496	23261.43
497	23516.59
498	22494.01
499	20479.01
500	25252.30
501	21376.37
502	22939.18
503	2091.94
504	2206.60
505	2228.78
506	2342.50
507	2485.75
508	2534.15
509	42428.55
510	37416.74
511	31337.02
512	32765.55
513	32440.73
514	31018.55
515	29838.07
516	28931.17
517	28733.62
518	28623.21
519	26522.78
520	26131.22
521	26453.89
522	25445.79
523	23399.76
524	27917.09
525	23406.24
526	24313.87
527	2132.80
528	2211.84
529	2275.05
530	2392.46
531	2497.00
532	2539.60
533	43551.35
534	41346.76
535	36802.25
536	36902.66
537	34576.02
538	32898.97
539	32725.07
540	27792.79
541	26097.50
542	25175.36
543	28261.84
544	35551.80
545	38604.33
546	36395.18
547	33773.35
548	38779.62
549	37568.41
550	39560.41
551	3794.97
552	4035.12
553	4225.51
554	4317.78
555	4495.21
556	4831.56
557	47621.09
558	47639.30
559	46372.30
560	45799.68
561	42774.37
562	41722.28
563	40872.19
564	40119.74
565	35535.92
566	33548.30
567	35151.82
568	38634.10
569	40766.29
570	40376.53
571	38302.46
572	41938.57
573	39708.60
574	40773.74
575	3734.21
576	4009.58
577	4139.09
578	4434.72
579	4922.94
580	5682.33
581	47643.80
582	47643.80
583	47349.63
584	46922.22
585	44171.32
586	42378.16
587	40753.64
588	38377.91
589	35983.81
590	32862.93
591	34342.74
592	40089.37
593	41455.97
594	40864.49
595	39976.54
596	43507.85
597	42161.20
598	43943.41
599	4055.71
600	4378.27
601	4828.61
602	5435.58
603	6149.16
604	6677.05
605	47643.80
606	47643.80
607	46973.61
608	47283.34
609	47031.62
610	46378.69
611	45920.54
612	45130.43
613	43802.10
614	42748.37
615	43299.27
616	42987.03
617	41610.25
618	39192.62
619	36012.51
620	39418.22
621	35696.44
622	37049.41
623	2876.60
624	2801.74
625	2835.45
626	2969.80
627	3258.03
628	3490.62
629	45937.92
630	45907.02
631	42280.21
632	41423.06
633	38482.69
634	37750.33
635	36370.51
636	34176.00
637	34019.94
638	35043.66
639	35928.37
640	37448.65
641	37197.57
642	36522.28
643	33894.97
644	38191.72
645	35825.55
646	36928.49
647	3243.84
648	3520.24
649	3869.70
650	4251.23
651	4677.50
652	4946.05
653	47164.33
654	47521.62
655	46042.73
656	45427.98
657	41860.44
658	39651.47
659	38700.38
660	36745.12
661	35683.65
662	36984.89
663	37268.88
664	36784.80
665	35597.35
666	34098.31
667	32163.37
668	35079.45
669	29995.89
670	31279.29
671	2596.54
672	2681.11
673	2729.09
674	2706.55
675	2699.85
676	2780.28
677	44252.35
678	41778.81
679	36394.48
680	36643.27
681	35319.24
682	33627.50
683	30639.63
684	28918.66
685	27576.15
686	25846.99
687	23382.09
688	22966.95
689	21657.06
690	18162.77
691	16153.14
692	21334.77
693	15764.08
694	17007.35
695	1288.35
696	1389.20
697	1681.31
698	1819.44
699	1962.25
700	2073.35
701	38285.53
702	32564.56
703	26649.08
704	23938.57
705	18839.95
706	15086.77
707	14216.51
708	12963.92
709	12938.63
710	13478.06
711	14218.25
712	17303.05
713	18799.26
714	17071.94
715	15532.32
716	20642.96
717	13888.79
718	12655.13
719	996.25
720	1091.21
721	1105.82
722	1155.85
723	1204.96
724	1235.92
725	26357.15
726	22360.92
727	16359.72
728	15016.88
729	14827.03
730	12195.41
731	10600.04
732	11532.49
733	11450.25
734	11777.79
735	12638.36
736	14509.02
737	14488.24
738	11775.92
739	14408.57
740	24570.39
741	22786.46
742	25325.90
743	2364.08
744	2198.41
745	2088.37
746	2325.00
747	2462.53
748	2523.98
749	42540.71
750	38084.56
751	32215.67
752	28888.99
753	23659.84
754	21881.17
755	18945.77
756	18034.46
757	17704.83
758	16399.31
759	18214.92
760	21073.94
761	22242.02
762	21450.32
763	20014.78
764	25580.21
765	21687.36
766	24092.65
767	2218.70
768	2235.23
769	2267.15
770	2307.85
771	2418.07
772	2494.07
