time [h]	Qdot1 [W]
0	13791.1
1	14368.2
2	14780.3
3	27409.4
4	152690.0
5	107997.0
6	86743.7
7	81861.3
8	64403.9
9	51406.4
10	49426.5
11	63014.8
12	63615.3
13	54225.4
14	52223.0
15	56710.4
16	69517.0
17	69005.1
18	51990.3
19	44669.9
20	39360.9
21	35253.9
22	31201.3
23	27436.7
24	18007.8
25	16888.6
26	15766.6
27	15089.1
28	18054.1
29	77730.9
30	57265.5
31	48924.0
32	49047.1
33	37266.4
34	31167.8
35	31467.4
36	39733.4
37	35205.1
38	30358.2
39	29586.1
40	32261.0
41	45978.2
42	45529.1
43	34656.1
44	29863.8
45	26339.2
46	23618.6
47	21504.1
48	19717.1
49	18300.5
50	17193.4
51	16236.4
52	19737.6
53	79786.8
54	58674.8
55	50086.6
56	51018.8
57	40223.7
58	32666.9
59	28953.9
60	33560.8
61	33699.6
62	29576.4
63	29815.7
64	34697.9
65	49969.7
66	50231.3
67	37548.0
68	32259.9
69	28409.3
70	25583.7
71	23492.9
72	22071.8
73	21061.5
74	20004.8
75	18919.3
76	23401.2
77	86549.5
78	64313.1
79	57353.6
80	66777.2
81	54588.7
82	44081.3
83	39260.5
84	49875.9
85	51441.9
86	43689.9
87	40867.6
88	44248.1
89	58524.5
90	59314.5
91	43861.6
92	38021.1
93	33761.5
94	30244.0
95	27440.6
96	25502.8
97	23670.9
98	22564.1
99	21806.5
100	27696.5
101	97480.2
102	72791.1
103	65328.1
104	75556.3
105	60071.3
106	46532.0
107	44205.4
108	50933.1
109	47689.0
110	40257.8
111	37936.6
112	44206.5
113	61595.4
114	64273.7
115	47536.9
116	40683.5
117	36205.5
118	32574.2
119	29520.8
120	27382.3
121	25893.7
122	24396.4
123	23044.0
124	22514.2
125	21641.6
126	20636.2
127	20239.8
128	20053.3
129	16815.1
130	11397.3
131	11419.8
132	11127.7
133	11846.5
134	12571.5
135	13425.3
136	15182.1
137	18062.8
138	19636.3
139	19656.9
140	19618.4
141	19017.2
142	19123.7
143	19053.1
144	18556.3
145	18381.6
146	18107.6
147	17851.4
148	17971.0
149	17886.5
150	17735.5
151	17834.6
152	17713.4
153	17150.3
154	15987.9
155	15646.8
156	15758.0
157	15992.3
158	16245.4
159	16686.5
160	17476.8
161	18121.1
162	18381.4
163	18542.3
164	18673.5
165	18800.6
166	18805.2
167	18898.0
168	19049.0
169	19160.7
170	19326.4
171	19453.2
172	39002.7
173	170000.0
174	145040.0
175	115686.0
176	108729.0
177	87552.2
178	71977.0
179	66499.7
180	75330.6
181	70620.5
182	58790.4
183	53096.4
184	57206.6
185	78984.4
186	79957.3
187	60785.5
188	51699.7
189	45118.2
190	40103.3
191	36204.6
192	33122.2
193	30304.3
194	28023.9
195	26264.9
196	31687.3
197	111876.0
198	83287.6
199	70951.2
200	72795.0
201	60309.3
202	51168.4
203	49189.8
204	57098.1
205	53314.0
206	44557.1
207	41882.8
208	42240.7
209	51547.4
210	50180.7
211	39562.1
212	34246.8
213	30211.3
214	27218.7
215	24816.5
216	22674.1
217	21259.8
218	19879.5
219	18602.0
220	20669.6
221	77000.7
222	57443.9
223	48627.3
224	45291.8
225	36251.3
226	28861.5
227	26847.4
228	35697.5
229	32469.8
230	25233.1
231	22983.9
232	23768.1
233	37444.7
234	42198.9
235	33435.1
236	29198.4
237	26108.2
238	23784.5
239	22139.1
240	20550.8
241	19215.8
242	18102.1
243	17135.5
244	19328.5
245	68015.8
246	51479.0
247	44905.6
248	44911.6
249	35052.2
250	28941.8
251	29361.1
252	34800.6
253	29077.5
254	22612.6
255	22701.4
256	25280.5
257	35653.8
258	37055.2
259	29721.1
260	26534.4
261	24002.7
262	22026.4
263	20414.0
264	19161.2
265	18057.0
266	17148.5
267	16399.5
268	18511.1
269	64521.6
270	48833.1
271	42902.8
272	43641.9
273	32468.1
274	23852.6
275	23187.6
276	33680.9
277	33681.4
278	28414.5
279	27585.8
280	30417.8
281	42885.3
282	43007.7
283	33206.7
284	29147.2
285	26179.1
286	23887.1
287	21890.5
288	20339.3
289	19130.3
290	18156.4
291	17325.7
292	16627.4
293	16077.7
294	15600.1
295	15194.5
296	14855.5
297	13260.6
298	11572.4
299	11651.8
300	11598.1
301	11552.6
302	11990.4
303	12575.1
304	13219.3
305	13937.0
306	14223.0
307	14597.1
308	15069.8
309	15309.9
310	15107.5
311	15418.8
312	15671.6
313	15418.3
314	15326.0
315	15298.1
316	15368.2
317	15475.3
318	15634.3
319	15401.8
320	15316.7
321	12997.5
322	9894.5
323	8917.8
324	8537.2
325	8737.1
326	9808.8
327	11710.0
328	13176.9
329	14147.0
330	14331.0
331	14255.6
332	14286.4
333	14270.5
334	14320.6
335	14275.0
336	14206.6
337	14227.1
338	14158.8
339	14031.0
340	24171.9
341	147944.0
342	105278.0
343	83473.9
344	72431.6
345	57696.5
346	47408.3
347	43892.3
348	50252.1
349	47657.0
350	38198.1
351	35621.5
352	36689.3
353	46952.6
354	47282.4
355	38441.1
356	33694.4
357	29885.2
358	26840.0
359	24317.0
360	22284.0
361	20901.6
362	19488.1
363	18452.0
364	20879.8
365	79354.4
366	59761.2
367	52266.0
368	50115.7
369	36103.5
370	25245.4
371	21954.8
372	25536.6
373	22735.2
374	17667.8
375	18417.7
376	21488.4
377	33434.2
378	36188.9
379	29684.6
380	26600.7
381	24004.0
382	21629.1
383	19687.4
