time [h]	Qdot1 [W]	Qdot2 [W]	Qdot3 [W]
0	181.5	2806.5	0.0
1	209.4	3238.2	3765.3
2	225.0	3584.7	4035.1
3	234.6	3835.3	4206.7
4	242.3	3949.9	4539.1
5	7261.2	46537.3	12940.6
6	6107.2	46246.0	13392.4
7	4555.3	41884.1	91651.5
8	4306.2	41174.3	81715.9
9	3968.2	39027.3	77151.0
10	3689.8	37588.1	69182.4
11	3410.8	36179.5	59020.2
12	2903.9	33394.3	57540.4
13	3074.0	33212.5	50057.4
14	3224.7	33460.2	50116.6
15	3342.9	34350.1	51231.2
16	3339.0	34051.3	51939.3
17	3267.4	33218.9	54016.1
18	3023.3	30036.5	55488.2
19	2777.0	26636.1	53284.8
20	3363.4	30492.5	53997.7
21	2697.4	26287.1	54862.7
22	2887.8	29805.1	55469.6
23	153.5	2534.3	53752.6
24	168.8	2575.2	1940.5
25	177.2	2550.7	2245.5
26	181.3	2418.2	2540.9
27	186.6	2390.0	2690.8
28	192.6	2457.4	2990.5
29	6713.7	42650.4	9207.8
30	5055.4	39046.7	9931.8
31	3817.8	32774.1	83702.6
32	3626.5	32091.7	71089.2
33	3370.2	30009.7	65385.6
34	3128.8	28621.9	60549.1
35	2895.9	27684.9	56448.4
36	2330.9	23624.5	51248.3
37	2168.0	21471.9	47028.2
38	2344.7	21996.8	42782.1
39	2637.5	22834.6	40375.8
40	2720.6	23275.5	42664.5
41	2720.0	23429.3	45955.8
42	2550.3	21707.3	47937.1
43	2319.2	18838.3	47237.5
44	2923.2	23195.1	47108.1
45	3099.9	34440.9	47094.0
46	3071.4	34624.9	47851.4
47	119.1	1543.8	46893.9
48	138.7	1737.0	1874.8
49	148.7	1839.2	2083.3
50	153.2	1831.9	2368.0
51	157.1	1804.2	2562.8
52	163.0	1858.9	2771.6
53	6032.6	37351.4	7886.6
54	4366.4	31584.0	8653.3
55	3300.3	25667.3	79486.6
56	3123.2	25955.7	66287.2
57	2574.7	22876.2	60653.3
58	2142.6	20032.2	51276.2
59	1824.9	17619.1	40616.6
60	1333.0	14087.7	33509.6
61	1562.6	15038.4	33392.7
62	1845.1	16258.7	33218.3
63	2198.8	17846.7	34909.2
64	2486.3	20149.9	35677.0
65	2603.5	21724.4	38661.8
66	2524.0	21167.1	41943.6
67	2371.0	19484.3	42030.5
68	3018.7	24767.4	43642.6
69	2351.9	20318.2	44785.5
70	2458.0	22056.8	45926.6
71	135.7	2025.6	45218.4
72	156.2	2172.6	1855.2
73	170.6	2312.3	2050.8
74	179.9	2409.6	2365.2
75	182.7	2358.0	2618.2
76	184.0	2274.9	2854.5
77	6454.9	41032.7	8165.3
78	4758.7	35890.0	9301.5
79	3592.2	29572.3	86193.8
80	3376.2	28862.9	72110.6
81	2485.9	23970.1	65640.5
82	2260.3	22829.0	56873.9
83	2105.5	21289.3	46352.0
84	2272.5	20048.5	38333.9
85	2349.1	20354.8	31920.7
86	2471.5	21943.6	30174.2
87	2629.6	23012.3	32229.5
88	2655.3	22740.6	35779.9
89	2606.4	21958.3	39099.2
90	2407.4	19843.6	41174.9
91	2174.6	17084.9	41051.6
92	2789.1	21703.9	41557.0
93	2972.8	32578.8	41712.1
94	2949.2	32575.5	41711.5
95	114.6	1618.3	40609.8
96	131.8	1728.2	1865.9
97	143.2	1808.5	1974.2
98	149.5	1800.8	2237.6
99	155.1	1807.2	2478.4
100	161.4	1860.4	2691.5
101	5852.4	35373.8	7118.5
102	4132.7	28532.5	8056.8
103	3081.5	22526.7	75228.1
104	2985.3	23796.1	63466.3
105	2830.4	22944.5	56922.4
106	2625.6	22075.3	50329.1
107	2512.8	22496.0	45972.7
108	2440.0	22286.2	43116.7
109	2462.9	22404.9	40608.3
110	2548.6	22498.4	38134.9
111	2637.2	22687.8	37709.1
112	2597.5	21910.9	40321.2
113	2466.9	20037.6	43288.2
114	2230.3	17386.2	44109.6
115	1982.9	14478.0	42061.0
116	2605.0	19128.6	40984.5
117	1908.8	13768.7	39698.5
118	1934.5	14699.3	38130.0
119	89.6	1289.9	35959.5
120	108.1	1311.5	1825.0
121	115.5	1286.0	1902.1
122	121.6	1311.0	2047.7
123	127.6	1375.2	2258.8
124	131.1	1357.1	2406.5
125	5088.6	28086.6	2515.7
126	3589.4	22503.5	3875.2
127	2691.7	17076.7	55621.7
128	2536.5	17485.0	46011.0
129	1849.8	13161.4	41250.7
130	1137.7	9813.5	36219.0
131	1166.5	10052.3	32937.3
132	1124.3	9793.0	29924.1
133	1172.1	9130.8	26758.2
134	1393.0	10527.1	25697.2
135	1759.2	12723.1	26876.4
136	2114.5	15755.4	30117.4
137	2115.2	15903.0	34141.8
138	2078.7	15547.4	36651.8
139	1884.8	13324.2	37233.2
140	2577.1	18371.5	37547.2
141	1932.4	13608.3	38243.3
142	2015.7	15316.0	38970.8
143	104.8	1462.7	37947.0
144	123.9	1538.3	1772.1
145	137.8	1648.5	1857.2
146	150.6	1799.7	2020.0
147	158.5	1888.5	2217.5
148	163.0	1942.8	2407.7
149	5841.6	34959.0	2652.6
150	4209.6	29067.4	4325.0
151	3300.4	25047.3	68060.7
152	3033.6	24065.0	58390.6
153	1611.0	16678.1	53798.2
154	852.5	11597.1	47564.4
155	668.9	9355.2	40289.6
156	915.5	10850.2	34082.3
157	929.0	10197.8	28528.4
158	1247.6	12433.8	27715.9
159	1751.3	14525.5	28970.4
160	2065.3	16320.6	31632.1
161	2135.2	17033.7	35705.8
162	2051.3	16053.8	38057.6
163	1971.0	15040.0	39661.4
164	2660.4	20562.4	40732.3
165	1997.9	15529.0	41561.1
166	2104.7	17344.8	42637.2
167	114.9	1681.6	42125.6
168	135.5	1827.3	1812.7
169	149.4	1953.9	1916.5
170	161.7	2097.4	2168.0
171	172.8	2235.8	2439.0
172	181.0	2325.0	2841.9
173	6266.2	40512.8	12122.9
174	4614.6	35314.4	12449.4
175	3551.5	30514.9	85133.7
176	3453.9	31173.0	71634.1
177	3242.0	29780.2	65394.1
178	2952.6	28359.8	56410.3
179	2205.9	24558.2	46752.3
180	1048.8	16718.8	37465.8
181	994.5	15818.3	31873.5
182	1156.6	16105.4	29491.2
183	1903.9	19525.4	29700.0
184	2462.5	22995.8	32875.3
185	2616.8	23877.3	37934.4
186	2543.0	23251.8	42790.5
187	2462.9	23292.8	44079.5
188	3147.6	29414.1	46554.7
189	2506.8	25948.0	48352.8
190	2659.4	27587.2	49706.2
191	151.0	2501.3	49479.0
192	166.3	2542.6	1921.9
193	177.8	2616.9	2172.7
194	185.1	2641.3	2542.4
195	190.4	2649.0	2784.3
196	195.2	2664.1	3231.5
197	6582.2	43324.1	10472.0
198	4906.5	39312.3	11131.1
199	3689.2	32559.4	88182.0
200	3440.9	31348.5	73597.7
201	2582.7	27375.0	66291.0
202	2362.0	25539.7	59264.3
203	2086.3	23340.6	54928.3
204	1548.4	18859.7	45805.7
205	1735.1	18897.1	41709.6
206	2052.6	21493.4	38656.3
207	2454.6	23796.6	36113.3
208	2678.3	24671.8	39413.6
209	2730.7	25002.4	45202.7
210	2577.2	23588.1	48530.3
211	2405.0	21651.4	47417.9
212	3088.1	27206.5	47838.9
213	2452.3	22927.2	48538.7
214	2614.3	25098.8	48928.0
215	146.2	2318.7	48448.4
216	164.9	2427.3	1973.6
217	176.7	2503.1	2238.5
218	187.0	2621.5	2614.4
219	196.6	2724.3	2874.7
220	204.4	2783.5	3327.7
221	6806.5	44221.1	9810.2
222	5208.5	41019.8	10912.5
223	3948.8	34140.2	92878.3
224	3775.6	33970.4	78736.9
225	3091.9	31103.1	72041.7
226	2259.6	25770.0	63367.8
227	2243.2	23985.3	52490.0
228	2580.0	25691.6	43605.8
229	2702.6	26366.6	38510.7
230	2781.8	26163.6	37226.0
231	2933.9	27203.2	38693.0
232	3015.1	28070.9	43742.6
233	2995.5	27906.6	48924.1
234	2814.6	25848.5	52252.8
235	2600.1	23368.3	51510.1
236	3228.7	28092.7	52252.4
237	2595.6	24304.2	52522.7
238	2743.5	26357.9	52629.1
239	150.4	2376.2	51423.6
240	168.5	2493.4	2065.2
241	180.3	2569.3	2337.7
242	188.8	2619.0	2723.0
243	197.2	2722.6	3013.6
244	201.9	2728.1	3497.1
245	6796.0	43933.8	9822.3
246	5198.2	41124.5	10988.9
247	3919.0	34333.1	93318.8
248	3750.9	34147.8	78320.6
249	3540.9	33515.0	70888.9
250	3267.3	31451.0	61291.1
251	3037.7	29512.9	53064.6
252	2900.8	28366.2	55980.3
253	2831.0	27649.7	55001.0
254	2674.8	27424.6	52267.7
255	2844.1	28242.4	43895.4
256	3119.2	30243.4	46619.7
257	3225.9	31522.3	52395.1
258	3087.3	29507.1	57025.2
259	2934.5	27670.4	57422.9
260	3615.1	33712.9	59246.0
261	3006.6	30844.8	60478.5
262	3182.0	32264.0	61639.5
263	184.3	3080.9	60344.8
264	206.8	3312.1	2270.4
265	221.7	3425.3	2588.6
266	234.3	3560.8	2963.1
267	240.8	3607.9	3391.3
268	254.8	3547.9	4131.4
269	7307.8	46622.2	11011.3
270	6331.1	46528.6	12197.2
271	4751.4	43030.4	101703.0
272	4465.7	42702.5	85811.5
273	3736.1	39822.8	78015.3
274	3229.6	37351.1	69260.7
275	2892.4	35333.3	61314.1
276	2517.4	32015.4	57884.7
277	1496.7	24953.8	56542.2
278	1309.8	23235.6	57008.8
279	2249.0	27848.8	58150.5
280	3048.7	32714.4	59662.8
281	3269.6	34868.0	61537.2
